day,precio
2021-05-14,89.9
2021-05-15,86.525
2021-05-16,89.70337364735838
2021-05-17,91.05454545454546
2021-05-18,91.1
2021-05-19,91.5
2021-05-28,87.63166666666666
2021-05-29,90.56
2021-05-31,88.5
2021-06-01,88.6
2021-06-02,91.1
2021-06-04,90.8
2021-06-30,87.7
2021-07-01,90.06666666666668
2021-07-03,91.78
2021-07-07,91.5
2021-07-10,92.8
2021-07-16,90.0
2021-07-26,91.4
2021-08-04,86.3
2021-08-09,89.2
2021-08-17,92.2
2021-08-21,92.4
2021-08-23,86.6
2021-09-04,86.90000000000002
2021-09-06,92.5
2021-09-09,89.2
2021-09-16,92.53333333333335
2021-10-06,88.4
2021-10-07,95.3
2021-10-22,91.4
2021-10-29,0.0
2021-11-02,90.8
2021-11-03,96.5
2021-11-12,60.898
2021-11-24,97.4
2021-12-10,93.0
2021-12-12,92.1
2022-01-03,91.3
2022-01-04,91.03703703703704
2022-01-07,91.1
2022-01-11,94.8
2022-01-14,91.9
2022-01-27,85.3
2022-02-02,98.35949843260188
2022-02-03,97.00425531914894
2022-02-04,98.93333333333334
2022-02-07,116.0
2022-02-08,97.5
2022-02-12,99.9
2022-02-14,103.7
2022-02-16,113.038583457157
2022-02-18,97.2
2022-02-21,105.0
2022-03-03,99.22307692307693
2022-03-14,109.75313676286073
2022-03-15,112.39999999999999
2022-03-16,113.16666666666667
2022-03-17,116.9
2022-03-18,114.0
2022-03-19,129.0
2022-03-21,106.6
2022-03-28,120.0
2022-03-29,112.3
2022-03-30,115.0
2022-03-31,139.0
2022-04-01,109.1
2022-04-07,126.0
2022-04-08,110.3
2022-04-09,104.7
2022-04-21,168.0
2022-04-23,130.0
2022-04-24,124.5
2022-04-26,140.0
2022-05-03,119.9
2022-05-07,127.3
2022-05-08,133.45
2022-05-09,122.25344180225282
2022-05-10,131.2941176470588
2022-05-11,122.15
2022-05-12,128.3
2022-05-13,141.29999999999998
2022-05-14,125.9
2022-05-20,132.5
2022-05-22,127.80710059171598
2022-05-25,126.5
2022-05-26,145.2
2022-05-28,125.23333333333333
2022-05-30,146.1
2022-06-01,165.0
2022-06-02,127.6125
2022-06-03,134.2
2022-06-05,154.9
2022-06-06,127.03015873015873
2022-06-07,143.125
2022-06-10,165.0
2022-06-11,130.11661971830986
2022-06-12,130.8983136593592
2022-06-13,130.23333333333335
2022-06-14,155.35000000000002
2022-06-16,141.80943396226414
2022-06-17,152.575
2022-06-18,145.44
2022-06-21,152.07999999999998
2022-06-22,152.15
2022-06-23,140.67999999999998
2022-06-24,184.9
2022-06-27,133.6
2022-06-28,149.7
2022-06-29,132.4
2022-07-03,188.8
2022-07-05,152.5
2022-07-06,134.1
2022-07-10,215.0
2022-07-14,134.7
2022-07-16,158.5
2022-07-20,133.8
2022-07-26,181.4
2022-08-01,137.3
2022-08-02,137.3
2022-08-03,0.0
2022-08-05,149.7
2022-08-08,141.5
2022-08-09,68.65
2022-08-21,152.21522012578617
2022-08-22,162.40769230769232
2022-08-23,151.85
2022-08-24,149.28709677419354
2022-08-25,156.36
2022-09-01,146.32000000000002
2022-09-02,158.2
2022-09-05,160.8
2022-09-06,159.2
